record_id,redcap_survey_identifier,formulrio_controle_de_temperatura_timestamp,selecao,ambiente,tipo_equipamento,temperatura_atual,temperatura_maxima,temperatura_minima,umidade,numero_patrimonio,temperatura_atual_equipamento,temperatura_maxima_equipamento,temperatura_m_nima_equipamento,responsavel,temperatura_ambiente_miseq,temperatura_chiller_miseq,data,par_joindate,par_joindate_utc,par_timezone,par_code,formulrio_controle_de_temperatura_complete
1,,,1,1,,17.4,18.9,16.3,59,,,,,"Tiago Henrique",,,,,,,,2
2,,,2,,1,,,,,," -28.9"," -24.5"," -30.2","Tiago Henrique",,,,,,,,2
3,,,2,,2,,,,,," -79",,,"Tiago Henrique",,,,,,,,2
4,,,2,,3,,,,,,0,2,0,"Tiago Henrique",,,,,,,,2
5,,,1,1,,17.4,19.1,17.4,54,,,,,"Tiago Henrique",,,,,,,,2
6,,,2,,1,,,,,5086," -26.6"," -24.5"," -30.0","Tiago Henrique",,,,,,,,2
7,,,2,,2,,,,,5170," -79.0",,,"Tiago Henrique",,,,,,,,2
8,,,2,,3,,,,,5257,0,2," -1","Tiago Henrique",,,,,,,,2
9,,,1,1,,17.5,19.1,17.4,53,,,,,"Tiago Henrique",,,,,,,,2
10,,,2,,1,,,,,5086," -24.9"," -24.9"," -23.1","Tiago Henrique",,,,,,,,2
11,,,2,,2,,,,,5170," -80",,,"Tiago Henrique",,,,,,,,2
12,,,2,,3,,,,,5257,1,3,0,"Tiago Henrique",,,,,,,,2
13,,,1,2,,21.2,22.5,21.0,,,,,,"Tiago Henrique",,,,,,,,2
14,,,1,1,,17.9,19.1,17.4,63,,,,,"Tiago Henrique",,,,,,,,2
15,,,1,2,,21.6,22.5,21.1,,,,,,"Tiago Henrique",,,,,,,,2
16,,,2,,1,,,,,5086," -26.5"," -23.1"," -27.7","Tiago Henrique",,,,,,,,2
17,,,2,,2,,,,,5170," -77",,,"Tiago Henrique",,,,,,,,2
18,,,2,,3,,,,,5257,1,1,0,"Tiago Henrique",,,,,,,,2
19,,,1,1,,19.5,22.6,19.4,62,,,,,"Tiago Henrique",,,,,,,,2
20,,,1,2,,22.1,24.6,21.8,,,,,,"Tiago Henrique",,,,,,,,2
21,,,2,,1,,,,,5086," -26.4"," -24.6"," -28.1","Tiago Henrique",,,,,,,,2
22,,,2,,2,,,,,5170," -76",,,"Tiago Henrique",,,,,,,,2
